"HITID","Food","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"2H1G5TYMNCWYCI8F1OJSPX11LX5NJO","coffee","A26ZENZ5G8AEGM","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 17:10:41 UTC 2012"
"2JV5NQYN5F3Q1XF5LUDNKWYB6IX8C7","green tea","A26ZENZ5G8AEGM","Beverages","A2RPXVZF0CCRE4","Beverages","Yes","Beverages","Tue Sep 11 16:40:52 UTC 2012"
"24UWYB49F9SSTVW1TFFN0T5H7OPUQD","Sugar","A26ZENZ5G8AEGM","Fat, Oil and Sweets","A2HAIY6HUOISQY","Fat, Oil and Sweets","Yes","Fat, Oil and Sweets","Tue Sep 11 17:09:20 UTC 2012"
"2KD0FK0COK2JFFL7HGB9TRW6Q8SJQ7","2 egg","A26ZENZ5G8AEGM","Meat and Protein","A2HM35CWB7IIFM","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 17:24:50 UTC 2012"
"241KM05BMJTUICV28PG9ZA7S754JEV","carrot juice","A26ZENZ5G8AEGM","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 17:04:19 UTC 2012"
"2NFBAT2D5NQYOJE3IWAGDTYMPLE37H","tomato","A1K9WP8Q74E9G2","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 16:57:39 UTC 2012"
"2MAW6NG1FS3NZ1IBQBSF7SZL469KYA","water","A17B7QTKWFQ5PQ","Beverages","A3UX2FXA3NMJCS","Beverages","Yes","Beverages","Tue Sep 11 15:20:09 UTC 2012"
"29BLB3L0FBJ9J2AJ6FIE3E5RR0KLX8","coffee","A1K9WP8Q74E9G2","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 17:14:45 UTC 2012"
"26YSNTL0XULRH1SBBZDMLX5FRG4N1J","guacamole","A1K9WP8Q74E9G2","Vegetables","A2HAIY6HUOISQY","Vegetables","Yes","Vegetables","Tue Sep 11 17:37:29 UTC 2012"
"2UK1O3W5XH0JQ3RIUGPEXLSP9E2ICP","olive oil","A17B7QTKWFQ5PQ","Fat, Oil and Sweets","A2V3P1XE33NYC3","Fat, Oil and Sweets","Yes","Fat, Oil and Sweets","Tue Sep 11 17:23:18 UTC 2012"
"2PWBDPGFL6VCQAY9JJ4WQOV1UGAJ4P","zucchini","A17B7QTKWFQ5PQ","Vegetables","A3NU1SQPI1NXY4","Vegetables","Yes","Vegetables","Tue Sep 11 15:58:46 UTC 2012"
"2FILWSBRI8IUCGXU14AH0TLB5UIE23","coffee","A17B7QTKWFQ5PQ","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 16:21:30 UTC 2012"
"231TUHYW2GTPA597K1NM969YUXXLQB","coffee","A17B7QTKWFQ5PQ","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 16:09:37 UTC 2012"
"2CEJ5OPB0YVG0MXMO7YEX9U33BOY6I","sabritas fries natural","A1K9WP8Q74E9G2","Fast-foods","A2HM35CWB7IIFM","Fast-foods","Yes","Fast-foods","Tue Sep 11 16:21:46 UTC 2012"
"2X2PEIB9BAWLT0WPI1MX2D3MV08Y1K","milk","A17B7QTKWFQ5PQ","Beverages","A2HAIY6HUOISQY","Beverages","Yes","Beverages","Tue Sep 11 16:41:32 UTC 2012"
"2VMEGDHDM25L9W8NRSXHMZ6OGD8NDA","gratin tomatoe","A1K01IV872R3WO","Vegetables","A2HAIY6HUOISQY","Vegetables","Yes","Vegetables","Tue Sep 11 16:15:24 UTC 2012"
"2L0XKO2L92HEDA96PZPOKCF0EYNEFN","asparagus","A1T4HQ3SBQIS5A","Vegetables","A3UX2FXA3NMJCS","Vegetables","Yes","Vegetables","Tue Sep 11 15:28:49 UTC 2012"
"2SOBFMFFOYYIUFSJ797E0C0RZ57MZ7","otro","A1K9WP8Q74E9G2","Unknown","A2HAIY6HUOISQY","Unknown","Yes","Unknown ","Tue Sep 11 16:41:09 UTC 2012"
"2P4Z9O9Z6KW4009Z9DIRTFQ0QW5C3J","coffee","A2HM35CWB7IIFM","Beverages","A3UX2FXA3NMJCS","Beverages","Yes","Beverages","Tue Sep 11 16:19:15 UTC 2012"
"2F736XBAT2D5O4XNXBUQ8JG5V75404","cereals (cheerios honey)","A1KAXCLAH6UVMS","Cereal Grains and Pasta","A3UX2FXA3NMJCS","Cereal Grains and Pasta","Yes","Cereal Grains and Pasta","Tue Sep 11 16:49:10 UTC 2012"
"227HIT3HVWAVLW52FFH2972ZBI8LD6","pumpkin and wild rice with onions","A1K9WP8Q74E9G2","Vegetables","A3GLUDQZGEJL5G","Vegetables","Yes","Vegetables","Tue Sep 11 15:25:19 UTC 2012"
"2EZ0JPPSI2KYF3KSH3WKTM6WLC6JPG","beer","A1K9WP8Q74E9G2","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 15:52:03 UTC 2012"
"2162L92HECWA7B2YG83F8CP5M67HIX","Milk","A2HM35CWB7IIFM","Dairy","A3UX2FXA3NMJCS","Dairy","Yes","Dairy","Tue Sep 11 16:51:47 UTC 2012"
"2RCC26DG67D1YHU07GRCWK2JGA4E7J","turkey","A2HM35CWB7IIFM","Meat and Protein","A3UX2FXA3NMJCS","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 16:24:38 UTC 2012"
"2I2274J79KQW7F7NW2LXNCD476UIGZ","comida","A1K9WP8Q74E9G2","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 16:16:50 UTC 2012"
"24BL0XULRGNTCX2ME9O5NP7N8B2Q4N","water","A2HM35CWB7IIFM","Beverages","A3GLUDQZGEJL5G","Beverages","Yes","Beverages","Tue Sep 11 15:52:56 UTC 2012"
"2TYJ2D21O3W5YVZJHLJIAKYERUA8E0","water","A1KAXCLAH6UVMS","Beverages","A3GLUDQZGEJL5G","Beverages","Yes","Beverages","Tue Sep 11 16:36:52 UTC 2012"
"21E4ZMAZHHRRMTP0GJEVZH1KJXRBKM","red wine","A1T4HQ3SBQIS5A","Beverages","A3GLUDQZGEJL5G","Beverages","Yes","Beverages","Tue Sep 11 15:36:33 UTC 2012"
"2KFUYT3DHJHP5PCDCCVYGRSXB6LT0O","onion","A2HM35CWB7IIFM","Vegetables","A3GLUDQZGEJL5G","Vegetables","Yes","Vegetables","Tue Sep 11 15:56:28 UTC 2012"
"2GOR70G5R98D9X2V63NS0TNYEPLBRF","bananas","A2RPXVZF0CCRE4","Fruits","A3GLUDQZGEJL5G","Fruits","Yes","Fruits","Tue Sep 11 16:43:24 UTC 2012"
"2B8IHPCGJ2D2222WXT80RPPSKB239T","magnum classic chocolate","A3GLUDQZGEJL5G","Fat, Oil and Sweets","A53VNQRRFQ785","Fat, Oil and Sweets","Yes","Fat, Oil and Sweets","Tue Sep 11 17:49:39 UTC 2012"
"2Z2MN9U8P9Y397VWPEUS2YIM2SBEVB","beer","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:36:54 UTC 2012"
"261WKUDD8XMB4429RW262TO6VDWNCA","coffee","A2HM35CWB7IIFM","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 16:54:44 UTC 2012"
"2YVM25L8I9NZXKGER2FECQW7VHOISJ","melted cheese","A1K9WP8Q74E9G2","Dairy","A2HM35CWB7IIFM","Dairy","Yes","Dairy","Tue Sep 11 17:30:13 UTC 2012"
"2IKA1QP6AUC27RF6Z9SXBV0FM9U07J","onions","A2ELWPBL46UA0E","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 16:09:40 UTC 2012"
"2JSOO2GMMEGOPUPS4IXIIA2SGRC881","green tea","A1T4HQ3SBQIS5A","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 17:15:43 UTC 2012"
"2LISPW1INMHGZ43JVJ1BEBFMHO6H4I","cucumber","A2HM35CWB7IIFM","Vegetables","A53VNQRRFQ785","Vegetables","Yes","Vegetables","Tue Sep 11 17:15:28 UTC 2012"
"2Y4VHVKCJ011LG64B30KYW61AWM68D","k","A1K9WP8Q74E9G2","Unknown","A1T4HQ3SBQIS5A","Unknown","Yes","Unknown ","Tue Sep 11 16:25:50 UTC 2012"
"27QH88MQU6L5PPUCAXIX54AILOPBUJ","quinoa","A2HM35CWB7IIFM","Grains","A2UFD1I8ZO1V4G","Grains","Yes","Grains","Tue Sep 11 18:37:13 UTC 2012"
"2KBVOK5UFJ51ZLPEGV6YYS1CU24965","honey","A2FCGEU5RTEWG8","Fat, Oil and Sweets","A2HM35CWB7IIFM","Fat, Oil and Sweets","Yes","Fat, Oil and Sweets","Tue Sep 11 17:51:56 UTC 2012"
"2XNTYMNCWYB4AT8SKO8X91JOP1BLPK","labne (cream of yogurt)","A22CRWMZUX7FFR","Dairy","A2HM35CWB7IIFM","Dairy","Yes","Dairy","Tue Sep 11 16:38:47 UTC 2012"
"207PSI2KYEPLT365CHD64J3OCQ7MS2","1 can of Red Bull 12 oz.","A22CRWMZUX7FFR","Beverages","A3O8XRFS9GCDMH","Beverages","Yes","Beverages","Tue Sep 11 15:48:59 UTC 2012"
"2QQJHSTLB3L0GPI9AK2JMJREXNNTHQ","esparragos","A22CRWMZUX7FFR","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 16:08:21 UTC 2012"
"22T3L0FBJ9IOCXDJJAMEDRPR4VINZ9","beef","A22CRWMZUX7FFR","Meat and Protein","A2HAIY6HUOISQY","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 15:49:19 UTC 2012"
"2K6U3K4F0OHOW504ATBOAL92JNU01M","spinach","A1T4HQ3SBQIS5A","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 16:13:26 UTC 2012"
"2KGOCCF0CP5KY3SIFE9X6G4POG5VU9","mc Donald burger fris soda sauce","A17B7QTKWFQ5PQ","Fast-foods","A1T4HQ3SBQIS5A","Fast-foods","Yes","Fast-foods","Tue Sep 11 16:54:43 UTC 2012"
"2CEAVKI62NJQ3F62R50QP6BKNLCSK3","red wine","A22CRWMZUX7FFR","Beverages","A2HAIY6HUOISQY","Beverages","Yes","Beverages","Tue Sep 11 17:21:09 UTC 2012"
"222H1Q6SVQ8H9MLQM2C5WBVCKA93MS","wine","A1T4HQ3SBQIS5A","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 16:57:24 UTC 2012"
"2UVP8PJWKUDD9BLBVMU970B6W26J8W","coffee","A1T4HQ3SBQIS5A","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 16:34:16 UTC 2012"
"2HNBMJTUHYW2H7O9J6YSDWM18IGNIC","water","A1K9WP8Q74E9G2","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 18:19:05 UTC 2012"
"26QJVCNHMVHVLQI0TXB2F4J7BT8023","orange juice","A1T4HQ3SBQIS5A","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 17:05:13 UTC 2012"
"24VWIOV1S7SN4RSGMXUYLZ8NA0DKZ1",":(","A1T4HQ3SBQIS5A","Unknown","A6WUFL0T08JBZ","Unknown","Yes","Unknown ","Tue Sep 11 17:32:31 UTC 2012"
"2Q9NDWIOV1S7T12DLCL1BYDZAWPXI5","tests","A2HM35CWB7IIFM","Unknown","A3O8XRFS9GCDMH","Unknown","Yes","Unknown ","Tue Sep 11 16:29:22 UTC 2012"
"2G2PFE4EGDHDNG4L0E0N7W6HG8OJ9L","protein shake","A2HM35CWB7IIFM","Meat and Protein","A3O8XRFS9GCDMH","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 16:31:46 UTC 2012"
"2A4OFXRDS4IC2SXDFTAFU11A4RCXUD","turkey breast","A2HM35CWB7IIFM","Meat and Protein","A3O8XRFS9GCDMH","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 15:58:44 UTC 2012"
"22DWJ5OPB0YVHD7YES27MP9U5AK5X4","corn","A2HAIY6HUOISQY","Vegetables","A3O8XRFS9GCDMH","Vegetables","Yes","Vegetables","Tue Sep 11 16:38:48 UTC 2012"
"2HXK0COK2JE1NLOKC5CR46OZCLILS0","coffee","A2HM35CWB7IIFM","Beverages","A3O8XRFS9GCDMH","Beverages","Yes","Beverages","Tue Sep 11 16:57:21 UTC 2012"
"26E1INMHGYQ4KHMA322FUFFO07ZK78","comida","A2HM35CWB7IIFM","Unknown","A3O8XRFS9GCDMH","Unknown","Yes","Unknown ","Tue Sep 11 18:21:47 UTC 2012"
"29E1VP9746OQ26MQI3H6F051STU0KP","cheese","A1K9WP8Q74E9G2","Dairy","A2HM35CWB7IIFM","Dairy","Yes","Dairy","Tue Sep 11 16:36:05 UTC 2012"
"27MJ3NAB6BFMGTNYQEK11JFDINATGR","rice","A1KAXCLAH6UVMS","Grains","A3O8XRFS9GCDMH","Grains","Yes","Grains","Tue Sep 11 17:16:39 UTC 2012"
"2SKYU98JHSTLCHK077A9QOBJGS9DPW","wine","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:33:04 UTC 2012"
"25Z1XERSQV66SZOHAPUH3WAVMRO917","pizza extra cheese sausage pepperoni","A2HAIY6HUOISQY","Fast-foods","A2HM35CWB7IIFM","Fast-foods","Yes","Fast-foods","Tue Sep 11 16:11:56 UTC 2012"
"2RT6BFMFFOYYJ70TBB4GMSC0T6ELYE","b","A1K9WP8Q74E9G2","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 16:30:40 UTC 2012"
"27ZM8JIA0RYNKN1NBGD0DBMJV3Z054","otro","A2HAIY6HUOISQY","Unknown","A3O8XRFS9GCDMH","Unknown","Yes","Unknown ","Tue Sep 11 18:31:14 UTC 2012"
"2KBVOK5UFJ51ZLPEGV6YYS1CU24692","rice","A2HM35CWB7IIFM","Grains","A3O8XRFS9GCDMH","Grains","Yes","Grains","Tue Sep 11 15:52:36 UTC 2012"
"2RDKI62NJQ218GY91M86JKLCXNSMUI","comida","A2HM35CWB7IIFM","Unknown","A3O8XRFS9GCDMH","Unknown","Yes","Unknown ","Tue Sep 11 15:51:02 UTC 2012"
"2902KYEPLSP76YKMYSA3WAHQGZCPV6","g","A2HAIY6HUOISQY","Unknown","A3O8XRFS9GCDMH","Unknown","Yes","Unknown ","Tue Sep 11 17:23:56 UTC 2012"
"2VTDPGFL6VCPXD8RF9NIWV1S914K5T","blue cheese","A2HAIY6HUOISQY","Dairy","A2HM35CWB7IIFM","Dairy","Yes","Dairy","Tue Sep 11 17:14:42 UTC 2012"
"2Y48JIA0RYNJAGMJCIR5JMJTWQG61T","ingrediente","A2HM35CWB7IIFM","Unknown","A2UFD1I8ZO1V4G","Unknown","Yes","Unknown ","Tue Sep 11 18:36:20 UTC 2012"
